## http://sheat.phys.tohoku.ac.jp/~tmatsu/demae/demae.shtml
## Temp(K), rho(Ohm*cm), I+(mA), I-(mA), V+(mV), V-(mV), R(Ohm), errR(Ohm), Rprobe(Ohm)
78.35, 8.4988E-7, 1.9989E+0, -1.9987E+0, -3.00004E-3, -3.02083E-3, 5.2003E-6, 1.4030E-6, -2.0839E+36
78.31, -4.7321E-6, 1.9989E+0, -1.9987E+0, -2.68194E-3, -2.56619E-3, -2.8955E-5, 4.0052E-6, -2.0665E+36
86.32, -2.4543E-6, 1.9989E+0, -1.9987E+0, -3.65151E-3, -3.59147E-3, -1.5018E-5, 8.5440E-6, -2.1166E+36
87.32, 8.7469E-6, 1.9989E+0, -1.9987E+0, -3.32761E-3, -3.54157E-3, 5.3521E-5, 1.8728E-6, -2.0531E+36
90.91, 1.1971E-5, 1.9989E+0, -1.9987E+0, -3.73067E-3, -4.02349E-3, 7.3249E-5, 9.3120E-7, -1.9934E+36
89.32, 1.2290E-5, 1.9989E+0, -1.9987E+0, -4.19682E-3, -4.49744E-3, 7.5200E-5, 3.6934E-6, -2.0367E+36
90.03, 1.5006E-5, 1.9989E+0, -1.9987E+0, -3.65441E-3, -4.02146E-3, 9.1817E-5, 1.2646E-6, -1.9251E+36
91.04, -9.4812E-6, 1.9989E+0, -1.9987E+0, -3.61564E-3, -3.38372E-3, -5.8014E-5, 2.1003E-5, -2.0742E+36
89.76, 1.2979E-5, 1.9989E+0, -1.9987E+0, -3.26653E-3, -3.58400E-3, 7.9414E-5, 4.4758E-6, -1.9895E+36
91.65, 2.0989E-5, 1.9989E+0, -1.9987E+0, -3.15513E-3, -3.66854E-3, 1.2843E-4, 1.3700E-5, -1.9048E+36
92.33, 4.9946E-5, 1.9989E+0, -1.9987E+0, -3.10190E-3, -4.32364E-3, 3.0561E-4, 8.5386E-7, -2.0001E+36
92.75, 6.8950E-5, 1.9989E+0, -1.9987E+0, -2.97513E-3, -4.66172E-3, 4.2190E-4, 3.8610E-6, -1.9636E+36
93.37, 2.2276E-4, 1.9989E+0, -1.9988E+0, -1.13484E-3, -6.58373E-3, 1.3630E-3, 5.0790E-7, -1.8846E+36
94.18, 2.3378E-4, 1.9989E+0, -1.9988E+0, -5.90276E-4, -6.30890E-3, 1.4305E-3, 1.5380E-6, -1.8971E+36
94.48, 2.3744E-4, 1.9989E+0, -1.9988E+0, 5.65277E-4, -5.24287E-3, 1.4529E-3, 1.9513E-6, -1.9087E+36
94.62, 2.0868E-4, 1.9989E+0, -1.9988E+0, 3.29340E-4, -4.77534E-3, 1.2769E-3, 9.9065E-6, -1.9270E+36
95.29, 2.4723E-4, 1.9989E+0, -1.9988E+0, 8.22104E-4, -5.22536E-3, 1.5128E-3, 1.8584E-5, -1.8298E+36
97.45, 2.5083E-4, 1.9989E+0, -1.9988E+0, 3.15718E-4, -5.82000E-3, 1.5348E-3, 1.6598E-6, -1.8856E+36
97.68, 2.4950E-4, 1.9989E+0, -1.9988E+0, 4.38839E-4, -5.66420E-3, 1.5267E-3, 6.2054E-7, -1.9385E+36
98.39, 2.4606E-4, 1.9989E+0, -1.9988E+0, 1.02077E-4, -5.91684E-3, 1.5056E-3, 3.2587E-6, -1.8192E+36
